"","world_rank","university_name","country","alumni","award","hici","ns","pub","pcp","year","national_rank","total_score"
"1","1","Harvard University","United States of America",100,100,100,100,100,72.4,2005,"1",100
"501","1","Harvard University","United States of America",100,100,100,100,100,73.6,2006,"1",100
"1001","1","Harvard University","United States of America",100,100,100,100,100,73,2007,"1",100
"1511","1","Harvard University","United States of America",100,100,100,100,100,74.1,2008,"1",100
"2014","1","Harvard University","United States of America",100,100,100,100,100,74.8,2009,"1",100
"2515","1","Harvard University","United States of America",100,100,100,100,100,69.2,2010,"1",100
"3015","1","Harvard University","United States of America",100,100,100,100,100,70.5,2011,"1",100
"3515","1","Harvard University","United States of America",100,100,100,100,100,71.1,2012,"1",100
"3799","1","Harvard University","United States of America",100,100,100,100,100,72.5,2013,"1",100
"3898","1","Harvard University","United States of America",100,100,100,100,100,75.3,2014,"1",100
"4398","1","Harvard University","United States of America",100,100,100,100,100,76.6,2015,"1",100
"2","2","University of Cambridge","United Kingdom",99.8,93.4,53.3,56.6,70.9,66.9,2005,"1",73.6
"502","2","University of Cambridge","United Kingdom",96.3,91.5,53.8,59.5,67.1,66.5,2006,"1",72.6
"1004","4","University of Cambridge","United Kingdom",93.6,91.5,54,58.2,65.4,65.1,2007,"1",71.6
"1514","4","University of Cambridge","United Kingdom",90.3,91.5,53.6,56,64.1,65,2008,"1",70.4
"2017","4","University of Cambridge","United Kingdom",89.4,91.5,53.8,53.9,65.4,65.5,2009,"1",70.2
"2519","5","University of Cambridge","United Kingdom",88.5,92.6,53.9,54.3,65.7,53.1,2010,"1",69.6
"3019","5","University of Cambridge","United Kingdom",87.1,96.7,54.5,54.1,65.1,52,2011,"1",70
"3519","5","University of Cambridge","United Kingdom",80.3,97.2,54.6,55,65.9,52.1,2012,"1",69.8
"3803","5","University of Cambridge","United Kingdom",79.1,97.3,54.6,54,66.2,53.3,2013,"1",69.6
"3902","5","University of Cambridge","United Kingdom",79.1,96.6,50.8,56.2,66.5,55.2,2014,"1",69.2
"4402","5","University of Cambridge","United Kingdom",77.1,96.6,50.8,55.6,66.4,55.8,2015,"1",68.8
"3","3","Stanford University","United States of America",41.1,72.2,88.5,70.9,72.3,65,2005,"2",73.4
"503","3","Stanford University","United States of America",39.7,70.7,88.4,70,71.4,65.3,2006,"2",72.5
"1002","2","Stanford University","United States of America",42,78.7,86.1,69.6,70.3,65.7,2007,"2",73.7
"1512","2","Stanford University","United States of America",40,78.7,86.6,68.9,71.6,66.9,2008,"2",73.7
"2015","2","Stanford University","United States of America",39,78.7,87.1,67.3,70.1,66.9,2009,"2",73.1
"2517","3","Stanford University","United States of America",40.2,78.4,87.6,68.4,69.7,50.1,2010,"3",72.1
"3016","2","Stanford University","United States of America",41.2,78.4,88.4,70.2,70.3,48.6,2011,"2",72.6
"3516","2","Stanford University","United States of America",38,79.7,88.9,71.6,69.6,49.2,2012,"2",72.8
"3800","2","Stanford University","United States of America",40,80.7,88.9,68.7,69.4,50.4,2013,"2",72.6
"3899","2","Stanford University","United States of America",41.8,82.8,79.8,71.1,70.9,51.9,2014,"2",72.1
"4399","2","Stanford University","United States of America",40.7,89.6,80.1,70.1,70.6,53.8,2015,"2",73.3
"4","4","University of California, Berkeley","United States of America",71.8,76,69.4,73.9,72.2,52.7,2005,"3",72.8
"504","4","University of California, Berkeley","United States of America",70.6,74.5,70.5,72.2,71.9,53.1,2006,"3",72.1
"1003","3","University of California, Berkeley","United States of America",72.5,77.1,67.9,72.9,69.2,52.6,2007,"3",71.9
"1513","3","University of California, Berkeley","United States of America",69,77.1,68.8,70.6,70,53,2008,"3",71.4
"2016","3","University of California, Berkeley","United States of America",67.4,77.1,68.4,71.1,69,53.2,2009,"3",71
"2516","2","University of California, Berkeley","United States of America",67.6,79.3,69,70.9,70.6,54.2,2010,"2",72.4
"3018","4","University of California, Berkeley","United States of America",68.3,79.3,70,69.5,69.4,53.1,2011,"4",71.9
"3518","4","University of California, Berkeley","United States of America",67.5,80.9,69.7,68.5,68.1,53.4,2012,"4",71.6
"3801","3","University of California, Berkeley","United States of America",67.8,79,69.7,68.5,68.1,54.7,2013,"3",71.3
"4401","4","University of California, Berkeley","United States of America",65.1,79.4,66.1,65.6,67.9,56.5,2015,"4",69.6
"5","5","Massachusetts Institute of Technology (MIT)","United States of America",74,80.6,66.7,65.8,64.3,53,2005,"4",70.1
"505","5","Massachusetts Institute of Technology (MIT)","",72.9,80.6,66.6,66.4,62.2,53.6,2006,"4",69.7
"1005","5","Massachusetts Institute of Technology (MIT)","United States of America",74.6,80.6,65.9,68.4,61.7,53.4,2007,"4",70
"1515","5","Massachusetts Institute of Technology (MIT)","United States of America",71,80.6,65.6,68.7,61.6,53.9,2008,"4",69.6
"2018","5","Massachusetts Institute of Technology (MIT)","United States of America",71,80.6,65.7,67.9,62,54.4,2009,"4",69.5
"2518","4","Massachusetts Institute of Technology (MIT)","United States of America",70.5,80.3,66.8,70.1,61.4,64.5,2010,"4",71.4
"3017","3","Massachusetts Institute of Technology (MIT)","United States of America",72.8,81.9,67.9,70.6,60.6,63.7,2011,"3",72
"3517","3","Massachusetts Institute of Technology (MIT)","United States of America",69,83.2,68.2,69.2,61.6,64.1,2012,"3",71.8
"3802","4","Massachusetts Institute of Technology (MIT)","United States of America",68,81.3,68.2,69.7,60.1,65,2013,"4",71.1
"3900","3","Massachusetts Institute of Technology (MIT)","United States of America",68.4,80.7,60.6,73.6,61.5,67.1,2014,"3",70.5
"4400","3","Massachusetts Institute of Technology (MIT)","United States of America",68.2,80.7,60.6,73.1,61.1,68,2015,"3",70.4
